====================
Distinguish key 7
====================
pos	          4	          3	          2	          1
 0	 301 (   1)	 346 (  46)	2950 (2650)	 302 (   2)
 1	 301 (   1)	 342 (  42)	2036 (1736)	 303 (   3)
 2	 301 (   1)	 327 (  27)	2651 (2351)	 303 (   3)
 3	 301 (   1)	 373 (  73)	4465 (4165)	 303 (   3)
 4	 301 (   1)	 339 (  39)	1613 (1313)	 303 (   3)
 5	 301 (   1)	 362 (  62)	1745 (1445)	 304 (   4)
 6	 301 (   1)	 403 ( 103)	3289 (2989)	 304 (   4)
 7	 301 (   1)	 327 (  27)	1653 (1353)	 303 (   3)
 8	 345 (  45)	1347 (1047)	 302 (   2)	 302 (   2)
 9	 355 (  55)	 904 ( 604)	 304 (   4)	 302 (   2)
10	 309 (   9)	1056 ( 756)	 301 (   1)	 302 (   2)
11	 372 (  72)	1942 (1642)	 302 (   2)	 303 (   3)
12	 341 (  41)	 610 ( 310)	 301 (   1)	 302 (   2)
13	 304 (   4)	 939 ( 639)	 303 (   3)	 301 (   1)
14	 328 (  28)	28891 (28591)	 302 (   2)	 301 (   1)
15	 316 (  16)	100000 (100000)	 354 (  54)	 305 (   5)
16	1927 (1627)	 303 (   3)	 301 (   1)	 353 (  53)
17	2088 (1788)	 304 (   4)	 301 (   1)	 339 (  39)
18	1117 ( 817)	 303 (   3)	 301 (   1)	 329 (  29)
19	5196 (4896)	 304 (   4)	 301 (   1)	 383 (  83)
20	6493 (6193)	 301 (   1)	 301 (   1)	 313 (  13)
21	1621 (1321)	 301 (   1)	 301 (   1)	 332 (  32)
22	1876 (1576)	 306 (   6)	 302 (   2)	 416 ( 116)
23	2241 (1941)	 327 (  27)	 302 (   2)	 338 (  38)
24	 304 (   4)	 301 (   1)	 352 (  52)	2375 (2075)
25	 301 (   1)	 301 (   1)	 313 (  13)	1052 ( 752)
26	 301 (   1)	 302 (   2)	 382 (  82)	1773 (1473)
27	 302 (   2)	 302 (   2)	 347 (  47)	 815 ( 515)
28	 304 (   4)	 303 (   3)	 306 (   6)	1898 (1598)
29	 301 (   1)	 301 (   1)	 342 (  42)	2372 (2072)
30	 305 (   5)	 301 (   1)	 364 (  64)	4282 (3982)
31	 341 (  41)	 305 (   5)	 321 (  21)	21206 (20906)
