====================
Distinguish key 6 7
====================
pos	          4	          3	          2	          1
 0	1807 (1507)	2812 (2512)	 301 (   1)	 301 (   1)
 0	 301 (   1)	 301 (   1)	1539 (1239)	 301 (   1)
 1	4045 (3745)	1859 (1559)	 301 (   1)	 359 (  59)
 1	 301 (   1)	 360 (  60)	2342 (2042)	 302 (   2)
 2	 516 ( 216)	1699 (1399)	 301 (   1)	 328 (  28)
 2	 301 (   1)	 337 (  37)	 628 ( 328)	 301 (   1)
 3	1148 ( 848)	1018 ( 718)	 301 (   1)	 305 (   5)
 3	 301 (   1)	 311 (  11)	1147 ( 847)	 301 (   1)
 4	1438 (1138)	1193 ( 893)	 301 (   1)	 329 (  29)
 4	 301 (   1)	 330 (  30)	1427 (1127)	 302 (   2)
 5	2109 (1809)	1235 ( 935)	 303 (   3)	 353 (  53)
 5	 301 (   1)	 355 (  55)	3604 (3304)	 301 (   1)
 6	 843 ( 543)	1987 (1687)	 302 (   2)	 316 (  16)
 6	 301 (   1)	 316 (  16)	1460 (1160)	 301 (   1)
 7	1348 (1048)	1924 (1624)	 301 (   1)	 317 (  17)
 7	 301 (   1)	 317 (  17)	2656 (2356)	 301 (   1)
 8	8110 (7810)	 301 (   1)	 335 (  35)	1436 (1136)
 8	 336 (  36)	1070 ( 770)	 302 (   2)	 302 (   2)
 9	1637 (1337)	 304 (   4)	 310 (  10)	 954 ( 654)
 9	 320 (  20)	 924 ( 624)	 301 (   1)	 301 (   1)
10	4468 (4168)	 304 (   4)	 345 (  45)	2774 (2474)
10	 345 (  45)	3790 (3490)	 301 (   1)	 301 (   1)
11	2503 (2203)	 304 (   4)	 341 (  41)	 566 ( 266)
11	 352 (  52)	 591 ( 291)	 301 (   1)	 301 (   1)
12	3869 (3569)	 304 (   4)	 325 (  25)	2198 (1898)
12	 327 (  27)	1830 (1530)	 302 (   2)	 301 (   1)
13	2049 (1749)	 303 (   3)	 365 (  65)	1654 (1354)
13	 366 (  66)	1602 (1302)	 302 (   2)	 301 (   1)
14	3286 (2986)	 307 (   7)	 367 (  67)	2117 (1817)
14	 342 (  42)	2494 (2194)	 305 (   5)	 302 (   2)
15	3058 (2758)	 305 (   5)	 318 (  18)	72996 (72696)
15	 318 (  18)	41700 (41400)	 309 (   9)	 302 (   2)
16	 303 (   3)	 343 (  43)	1893 (1593)	2722 (2422)
16	1557 (1257)	 304 (   4)	 301 (   1)	 344 (  44)
17	 305 (   5)	 375 (  75)	 766 ( 466)	2504 (2204)
17	 728 ( 428)	 305 (   5)	 301 (   1)	 372 (  72)
18	 304 (   4)	 339 (  39)	1691 (1391)	4980 (4680)
18	1151 ( 851)	 301 (   1)	 301 (   1)	 328 (  28)
19	 302 (   2)	 334 (  34)	1442 (1142)	1367 (1067)
19	2267 (1967)	 301 (   1)	 301 (   1)	 334 (  34)
20	 303 (   3)	 362 (  62)	3460 (3160)	4031 (3731)
20	3503 (3203)	 302 (   2)	 301 (   1)	 351 (  51)
21	 302 (   2)	 325 (  25)	1202 ( 902)	 774 ( 474)
21	1064 ( 764)	 305 (   5)	 301 (   1)	 331 (  31)
22	 305 (   5)	 349 (  49)	1567 (1267)	1601 (1301)
22	1503 (1203)	 305 (   5)	 301 (   1)	 324 (  24)
23	 307 (   7)	 370 (  70)	2448 (2148)	4436 (4136)
23	2901 (2601)	 309 (   9)	 301 (   1)	 349 (  49)
24	 336 (  36)	1711 (1411)	3296 (2996)	 303 (   3)
24	 302 (   2)	 303 (   3)	 340 (  40)	3415 (3115)
25	 360 (  60)	 978 ( 678)	1635 (1335)	 301 (   1)
25	 302 (   2)	 301 (   1)	 336 (  36)	 462 ( 162)
26	 404 ( 104)	1541 (1241)	5246 (4946)	 303 (   3)
26	 302 (   2)	 301 (   1)	 401 ( 101)	1853 (1553)
27	 315 (  15)	5582 (5282)	3936 (3636)	 303 (   3)
27	 306 (   6)	 301 (   1)	 306 (   6)	6767 (6467)
28	 379 (  79)	 988 ( 688)	2687 (2387)	 305 (   5)
28	 303 (   3)	 302 (   2)	 364 (  64)	1227 ( 927)
29	 488 ( 188)	1312 (1012)	1577 (1277)	 303 (   3)
29	 301 (   1)	 301 (   1)	 417 ( 117)	1291 ( 991)
30	 337 (  37)	20547 (20247)	1893 (1593)	 305 (   5)
30	 307 (   7)	 302 (   2)	 336 (  36)	25678 (25378)
31	 440 ( 140)	2382 (2082)	5539 (5239)	 305 (   5)
31	 302 (   2)	 301 (   1)	 343 (  43)	3900 (3600)
