====================
Distinguish key 7
====================
pos	          4	          3	          2	          1
 0	 301 (   1)	 361 (  61)	1494 (1194)	 303 (   3)
 1	 304 (   4)	 342 (  42)	3794 (3494)	 305 (   5)
 2	 301 (   1)	 318 (  18)	3112 (2812)	 305 (   5)
 3	 302 (   2)	 376 (  76)	 665 ( 365)	 302 (   2)
 4	 301 (   1)	 355 (  55)	2079 (1779)	 304 (   4)
 5	 301 (   1)	 318 (  18)	1788 (1488)	 301 (   1)
 6	 301 (   1)	 314 (  14)	41603 (41303)	 304 (   4)
 7	 301 (   1)	 318 (  18)	1677 (1377)	 304 (   4)
 8	 350 (  50)	1511 (1211)	 304 (   4)	 302 (   2)
 9	 333 (  33)	 812 ( 512)	 301 (   1)	 302 (   2)
10	 314 (  14)	1706 (1406)	 301 (   1)	 301 (   1)
11	 366 (  66)	2201 (1901)	 301 (   1)	 301 (   1)
12	 335 (  35)	4743 (4443)	 304 (   4)	 301 (   1)
13	 363 (  63)	2812 (2512)	 301 (   1)	 301 (   1)
14	 367 (  67)	17030 (16730)	 305 (   5)	 301 (   1)
15	 316 (  16)	 535 ( 235)	 303 (   3)	 302 (   2)
16	3767 (3467)	 306 (   6)	 302 (   2)	 335 (  35)
17	1632 (1332)	 301 (   1)	 301 (   1)	 369 (  69)
18	 554 ( 254)	 303 (   3)	 301 (   1)	 412 ( 112)
19	1263 ( 963)	 302 (   2)	 301 (   1)	 345 (  45)
20	1096 ( 796)	 301 (   1)	 301 (   1)	 311 (  11)
21	4847 (4547)	 301 (   1)	 301 (   1)	 339 (  39)
22	1392 (1092)	 314 (  14)	 302 (   2)	 361 (  61)
23	1240 ( 940)	 306 (   6)	 301 (   1)	 327 (  27)
24	 301 (   1)	 301 (   1)	 367 (  67)	2218 (1918)
25	 304 (   4)	 301 (   1)	 363 (  63)	1693 (1393)
26	 302 (   2)	 301 (   1)	 340 (  40)	2963 (2663)
27	 301 (   1)	 301 (   1)	 325 (  25)	1567 (1267)
28	 302 (   2)	 301 (   1)	 347 (  47)	2879 (2579)
29	 303 (   3)	 301 (   1)	 362 (  62)	6577 (6277)
30	 304 (   4)	 301 (   1)	 309 (   9)	3836 (3536)
31	 317 (  17)	 301 (   1)	 367 (  67)	100000 (100000)
