====================
Distinguish key 6 7
====================
pos	          4	          3	          2	          1
 0	1480 (1180)	1295 ( 995)	 303 (   3)	 377 (  77)
 0	 301 (   1)	 373 (  73)	1472 (1172)	 304 (   4)
 1	 657 ( 357)	1853 (1553)	 301 (   1)	 354 (  54)
 1	 301 (   1)	 371 (  71)	 738 ( 438)	 304 (   4)
 2	3699 (3399)	3640 (3340)	 302 (   2)	 340 (  40)
 2	 301 (   1)	 325 (  25)	4327 (4027)	 304 (   4)
 3	1084 ( 784)	1270 ( 970)	 303 (   3)	 428 ( 128)
 3	 301 (   1)	 473 ( 173)	1948 (1648)	 302 (   2)
 4	1032 ( 732)	1321 (1021)	 301 (   1)	 339 (  39)
 4	 301 (   1)	 349 (  49)	2476 (2176)	 304 (   4)
 5	 899 ( 599)	1318 (1018)	 301 (   1)	 321 (  21)
 5	 301 (   1)	 321 (  21)	 774 ( 474)	 302 (   2)
 6	2788 (2488)	1415 (1115)	 302 (   2)	 365 (  65)
 6	 301 (   1)	 357 (  57)	2693 (2393)	 301 (   1)
 7	3082 (2782)	2364 (2064)	 301 (   1)	 464 ( 164)
 7	 301 (   1)	 399 (  99)	2900 (2600)	 301 (   1)
 8	16200 (15900)	 305 (   5)	 339 (  39)	2198 (1898)
 8	 339 (  39)	2488 (2188)	 301 (   1)	 302 (   2)
 9	2956 (2656)	 301 (   1)	 322 (  22)	2412 (2112)
 9	 322 (  22)	2488 (2188)	 304 (   4)	 301 (   1)
10	5258 (4958)	 304 (   4)	 331 (  31)	2555 (2255)
10	 393 (  93)	2951 (2651)	 304 (   4)	 303 (   3)
11	3251 (2951)	 304 (   4)	 345 (  45)	1954 (1654)
11	 339 (  39)	1861 (1561)	 301 (   1)	 302 (   2)
12	4134 (3834)	 306 (   6)	 407 ( 107)	1137 ( 837)
12	 355 (  55)	1452 (1152)	 305 (   5)	 301 (   1)
13	3345 (3045)	 301 (   1)	 358 (  58)	1003 ( 703)
13	 326 (  26)	1541 (1241)	 306 (   6)	 303 (   3)
14	1526 (1226)	 303 (   3)	 322 (  22)	16549 (16249)
14	 318 (  18)	32991 (32691)	 304 (   4)	 301 (   1)
15	1320 (1020)	 304 (   4)	 341 (  41)	2211 (1911)
15	 353 (  53)	1885 (1585)	 304 (   4)	 301 (   1)
16	 304 (   4)	 345 (  45)	1742 (1442)	3190 (2890)
16	1503 (1203)	 302 (   2)	 301 (   1)	 350 (  50)
17	 302 (   2)	 402 ( 102)	2529 (2229)	4270 (3970)
17	1127 ( 827)	 304 (   4)	 301 (   1)	 391 (  91)
18	 301 (   1)	 385 (  85)	1758 (1458)	4248 (3948)
18	1284 ( 984)	 306 (   6)	 303 (   3)	 384 (  84)
19	 305 (   5)	 372 (  72)	3580 (3280)	2061 (1761)
19	3542 (3242)	 302 (   2)	 302 (   2)	 372 (  72)
20	 302 (   2)	 324 (  24)	2911 (2611)	3567 (3267)
20	4358 (4058)	 303 (   3)	 301 (   1)	 321 (  21)
21	 304 (   4)	 374 (  74)	1053 ( 753)	4717 (4417)
21	 882 ( 582)	 305 (   5)	 301 (   1)	 431 ( 131)
22	 305 (   5)	 322 (  22)	97494 (97194)	1545 (1245)
22	86988 (86688)	 304 (   4)	 302 (   2)	 322 (  22)
23	 656 ( 356)	 355 (  55)	100000 (100000)	100000 (100000)
23	100000 (100000)	 874 ( 574)	 304 (   4)	 344 (  44)
24	 444 ( 144)	2049 (1749)	3106 (2806)	 302 (   2)
24	 301 (   1)	 301 (   1)	 480 ( 180)	2554 (2254)
25	 331 (  31)	1790 (1490)	2334 (2034)	 303 (   3)
25	 305 (   5)	 302 (   2)	 338 (  38)	1794 (1494)
26	 336 (  36)	1327 (1027)	4820 (4520)	 301 (   1)
26	 302 (   2)	 301 (   1)	 339 (  39)	1186 ( 886)
27	 439 ( 139)	2443 (2143)	3517 (3217)	 303 (   3)
27	 301 (   1)	 301 (   1)	 437 ( 137)	2666 (2366)
28	 311 (  11)	1687 (1387)	2744 (2444)	 303 (   3)
28	 305 (   5)	 303 (   3)	 312 (  12)	1364 (1064)
29	 362 (  62)	2147 (1847)	2449 (2149)	 301 (   1)
29	 306 (   6)	 301 (   1)	 363 (  63)	2261 (1961)
30	 361 (  61)	2790 (2490)	3377 (3077)	 311 (  11)
30	 309 (   9)	 302 (   2)	 326 (  26)	2459 (2159)
31	 418 ( 118)	32228 (31928)	3036 (2736)	 303 (   3)
31	 303 (   3)	 301 (   1)	 339 (  39)	100000 (100000)
