====================
Distinguish key 7
====================
pos	          4	          3	          2	          1
32	 301 (   1)	3987 (3687)	 304 (   4)	 302 (   2)
33	 302 (   2)	10830 (10530)	 303 (   3)	 301 (   1)
34	 301 (   1)	22628 (22328)	 307 (   7)	 301 (   1)
35	 301 (   1)	5489 (5189)	 303 (   3)	 301 (   1)
36	 301 (   1)	5955 (5655)	 303 (   3)	 302 (   2)
37	 301 (   1)	3521 (3221)	 301 (   1)	 302 (   2)
38	 301 (   1)	3116 (2816)	 304 (   4)	 301 (   1)
39	 301 (   1)	4691 (4391)	 301 (   1)	 301 (   1)
40	34041 (33741)	 303 (   3)	 302 (   2)	 301 (   1)
41	100000 (100000)	 307 (   7)	 301 (   1)	 301 (   1)
42	100000 (100000)	 356 (  56)	 301 (   1)	 302 (   2)
43	3539 (3239)	 301 (   1)	 301 (   1)	 301 (   1)
44	3085 (2785)	 303 (   3)	 302 (   2)	 301 (   1)
45	3835 (3535)	 302 (   2)	 301 (   1)	 301 (   1)
46	2802 (2502)	 309 (   9)	 302 (   2)	 302 (   2)
47	 936 ( 636)	 312 (  12)	 303 (   3)	 301 (   1)
48	 301 (   1)	 301 (   1)	 302 (   2)	100000 (100000)
49	 303 (   3)	 302 (   2)	 301 (   1)	4802 (4502)
50	 304 (   4)	 301 (   1)	 301 (   1)	15735 (15435)
51	 302 (   2)	 301 (   1)	 301 (   1)	100000 (100000)
52	 305 (   5)	 301 (   1)	 302 (   2)	2635 (2335)
53	 304 (   4)	 302 (   2)	 302 (   2)	1627 (1327)
54	 304 (   4)	 301 (   1)	 301 (   1)	14303 (14003)
55	 301 (   1)	 302 (   2)	 301 (   1)	 903 ( 603)
56	 302 (   2)	 301 (   1)	13619 (13319)	 304 (   4)
57	 302 (   2)	 301 (   1)	86945 (86645)	 304 (   4)
58	 301 (   1)	 301 (   1)	100000 (100000)	 305 (   5)
59	 301 (   1)	 302 (   2)	34495 (34195)	 301 (   1)
60	 303 (   3)	 301 (   1)	1897 (1597)	 303 (   3)
61	 302 (   2)	 302 (   2)	4794 (4494)	 301 (   1)
62	 302 (   2)	 301 (   1)	4646 (4346)	 305 (   5)
63	 303 (   3)	 301 (   1)	1065 ( 765)	 303 (   3)
