====================
Distinguish key 6
====================
pos	          4	          3	          2	          1
 0	19358 (19058)	100000 (100000)	100000 (100000)	100000 (100000)
 1	100000 (100000)	70025 (69725)	100000 (100000)	52995 (52695)
 2	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 3	8042 (7742)	100000 (100000)	6540 (6240)	100000 (100000)
 4	100000 (100000)	12431 (12131)	100000 (100000)	100000 (100000)
 5	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 6	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 7	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 8	100000 (100000)	28131 (27831)	100000 (100000)	100000 (100000)
 9	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
10	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
11	100000 (100000)	60292 (59992)	100000 (100000)	100000 (100000)
12	100000 (100000)	100000 (100000)	13260 (12960)	100000 (100000)
13	100000 (100000)	100000 (100000)	100000 (100000)	11123 (10823)
14	100000 (100000)	100000 (100000)	100000 (100000)	34500 (34200)
15	100000 (100000)	100000 (100000)	100000 (100000)	2038 (1738)
16	100000 (100000)	35977 (35677)	100000 (100000)	100000 (100000)
17	56728 (56428)	100000 (100000)	100000 (100000)	100000 (100000)
18	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
19	100000 (100000)	43506 (43206)	100000 (100000)	100000 (100000)
20	100000 (100000)	100000 (100000)	82923 (82623)	6407 (6107)
21	100000 (100000)	15396 (15096)	100000 (100000)	1943 (1643)
22	100000 (100000)	100000 (100000)	100000 (100000)	6600 (6300)
23	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
24	100000 (100000)	100000 (100000)	35172 (34872)	100000 (100000)
25	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
26	100000 (100000)	40605 (40305)	100000 (100000)	100000 (100000)
27	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
28	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
29	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
30	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
31	100000 (100000)	6521 (6221)	100000 (100000)	9718 (9418)
