====================
Distinguish key 6
====================
pos	          4	          3	          2	          1
 0	 978 ( 678)	2127 (1827)	 301 (   1)	 314 (  14)
 1	1064 ( 764)	1174 ( 874)	 303 (   3)	 406 ( 106)
 2	2185 (1885)	1482 (1182)	 303 (   3)	 451 ( 151)
 3	 667 ( 367)	1325 (1025)	 304 (   4)	 335 (  35)
 4	 675 ( 375)	1556 (1256)	 301 (   1)	 329 (  29)
 5	1441 (1141)	1740 (1440)	 301 (   1)	 316 (  16)
 6	3546 (3246)	1385 (1085)	 302 (   2)	 329 (  29)
 7	 830 ( 530)	1607 (1307)	 305 (   5)	 430 ( 130)
 8	3507 (3207)	 305 (   5)	 314 (  14)	1248 ( 948)
 9	2848 (2548)	 301 (   1)	 376 (  76)	1040 ( 740)
10	3344 (3044)	 302 (   2)	 358 (  58)	1579 (1279)
11	2337 (2037)	 302 (   2)	 345 (  45)	5753 (5453)
12	2766 (2466)	 302 (   2)	 413 ( 113)	1591 (1291)
13	2020 (1720)	 303 (   3)	 347 (  47)	1170 ( 870)
14	1863 (1563)	 307 (   7)	 319 (  19)	44796 (44496)
15	4229 (3929)	 304 (   4)	 354 (  54)	2362 (2062)
16	 300 (   0)	 355 (  55)	2688 (2388)	5562 (5262)
17	 300 (   0)	 322 (  22)	1461 (1161)	3865 (3565)
18	 302 (   2)	 329 (  29)	1468 (1168)	3782 (3482)
19	 300 (   0)	 342 (  42)	1162 ( 862)	2166 (1866)
20	 302 (   2)	 321 (  21)	1671 (1371)	3013 (2713)
21	 300 (   0)	 328 (  28)	1266 ( 966)	3166 (2866)
22	 302 (   2)	 306 (   6)	21253 (20953)	1241 ( 941)
23	 300 (   0)	 495 ( 195)	1725 (1425)	4278 (3978)
24	 338 (  38)	1690 (1390)	2838 (2538)	 303 (   3)
25	 359 (  59)	 980 ( 680)	2226 (1926)	 303 (   3)
26	 395 (  95)	1676 (1376)	3178 (2878)	 304 (   4)
27	 491 ( 191)	3245 (2945)	2830 (2530)	 303 (   3)
28	 348 (  48)	2413 (2113)	2020 (1720)	 301 (   1)
29	 353 (  53)	1367 (1067)	3784 (3484)	 301 (   1)
30	 342 (  42)	1679 (1379)	5209 (4909)	 306 (   6)
31	 338 (  38)	100000 (100000)	58165 (57865)	 312 (  12)
