====================
Distinguish key 6
====================
pos	          4	          3	          2	          1
 0	1145 ( 845)	1606 (1306)	 301 (   1)	 376 (  76)
 1	5675 (5375)	1320 (1020)	 303 (   3)	 345 (  45)
 2	2920 (2620)	1843 (1543)	 301 (   1)	 357 (  57)
 3	1282 ( 982)	1494 (1194)	 301 (   1)	 365 (  65)
 4	2145 (1845)	 750 ( 450)	 301 (   1)	 353 (  53)
 5	1497 (1197)	1164 ( 864)	 302 (   2)	 318 (  18)
 6	15076 (14776)	 643 ( 343)	 303 (   3)	 314 (  14)
 7	2294 (1994)	1916 (1616)	 302 (   2)	 308 (   8)
 8	5199 (4899)	 303 (   3)	 350 (  50)	1096 ( 796)
 9	1957 (1657)	 302 (   2)	 329 (  29)	 828 ( 528)
10	4059 (3759)	 301 (   1)	 310 (  10)	 848 ( 548)
11	2173 (1873)	 305 (   5)	 366 (  66)	1616 (1316)
12	2053 (1753)	 301 (   1)	 335 (  35)	3356 (3056)
13	2039 (1739)	 303 (   3)	 363 (  63)	2963 (2663)
14	1233 ( 933)	 308 (   8)	 368 (  68)	10161 (9861)
15	3428 (3128)	 302 (   2)	 575 ( 275)	1352 (1052)
16	 301 (   1)	 335 (  35)	1406 (1106)	17679 (17379)
17	 302 (   2)	 364 (  64)	2478 (2178)	1373 (1073)
18	 301 (   1)	 418 ( 118)	1414 (1114)	3120 (2820)
19	 302 (   2)	 339 (  39)	2625 (2325)	2628 (2328)
20	 303 (   3)	 317 (  17)	1435 (1135)	4242 (3942)
21	 301 (   1)	 338 (  38)	1791 (1491)	1615 (1315)
22	 309 (   9)	 382 (  82)	1424 (1124)	4477 (4177)
23	 306 (   6)	 371 (  71)	2309 (2009)	4869 (4569)
24	 366 (  66)	1043 ( 743)	1445 (1145)	 304 (   4)
25	 340 (  40)	1063 ( 763)	1562 (1262)	 304 (   4)
26	 342 (  42)	2666 (2366)	3963 (3663)	 304 (   4)
27	 325 (  25)	1426 (1126)	1973 (1673)	 303 (   3)
28	 341 (  41)	3298 (2998)	3018 (2718)	 303 (   3)
29	 347 (  47)	6551 (6251)	2925 (2625)	 304 (   4)
30	 309 (   9)	2713 (2413)	1769 (1469)	 304 (   4)
31	 385 (  85)	100000 (100000)	3573 (3273)	 316 (  16)
