====================
Distinguish key 7
====================
pos	          4	          3	          2	          1
 0	100000 (100000)	100000 (100000)	64888 (64588)	100000 (100000)
 1	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 2	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 3	100000 (100000)	100000 (100000)	4145 (3845)	100000 (100000)
 4	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 5	100000 (100000)	100000 (100000)	100000 (100000)	5394 (5094)
 6	100000 (100000)	100000 (100000)	7923 (7623)	100000 (100000)
 7	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
 8	100000 (100000)	25785 (25485)	100000 (100000)	100000 (100000)
 9	100000 (100000)	32212 (31912)	100000 (100000)	100000 (100000)
10	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
11	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
12	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
13	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
14	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
15	100000 (100000)	100000 (100000)	14902 (14602)	100000 (100000)
16	100000 (100000)	68117 (67817)	100000 (100000)	100000 (100000)
17	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
18	100000 (100000)	40896 (40596)	100000 (100000)	100000 (100000)
19	100000 (100000)	100000 (100000)	31470 (31170)	100000 (100000)
20	100000 (100000)	100000 (100000)	7483 (7183)	100000 (100000)
21	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
22	100000 (100000)	13492 (13192)	100000 (100000)	86064 (85764)
23	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
24	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
25	100000 (100000)	100000 (100000)	7995 (7695)	35289 (34989)
26	100000 (100000)	100000 (100000)	100000 (100000)	50088 (49788)
27	100000 (100000)	100000 (100000)	60022 (59722)	100000 (100000)
28	100000 (100000)	95064 (94764)	100000 (100000)	100000 (100000)
29	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
30	100000 (100000)	100000 (100000)	100000 (100000)	100000 (100000)
31	100000 (100000)	2181 (1881)	100000 (100000)	100000 (100000)
