====================
Distinguish key 7
====================
pos	          4	          3	          2	          1
 0	 301 (   1)	 314 (  14)	1317 (1017)	 302 (   2)
 1	 301 (   1)	 404 ( 104)	 551 ( 251)	 302 (   2)
 2	 301 (   1)	 449 ( 149)	2469 (2169)	 301 (   1)
 3	 302 (   2)	 348 (  48)	 667 ( 367)	 306 (   6)
 4	 301 (   1)	 320 (  20)	1756 (1456)	 302 (   2)
 5	 301 (   1)	 316 (  16)	1527 (1227)	 302 (   2)
 6	 301 (   1)	 322 (  22)	3862 (3562)	 303 (   3)
 7	 301 (   1)	 327 (  27)	1391 (1091)	 301 (   1)
 8	 314 (  14)	1061 ( 761)	 303 (   3)	 301 (   1)
 9	 384 (  84)	 989 ( 689)	 303 (   3)	 301 (   1)
10	 361 (  61)	2145 (1845)	 303 (   3)	 301 (   1)
11	 345 (  45)	6583 (6283)	 303 (   3)	 301 (   1)
12	 405 ( 105)	1550 (1250)	 304 (   4)	 301 (   1)
13	 347 (  47)	1386 (1086)	 303 (   3)	 302 (   2)
14	 317 (  17)	20111 (19811)	 304 (   4)	 301 (   1)
15	 336 (  36)	4646 (4346)	 305 (   5)	 301 (   1)
16	1557 (1257)	 303 (   3)	 301 (   1)	 347 (  47)
17	1589 (1289)	 303 (   3)	 301 (   1)	 332 (  32)
18	2284 (1984)	 301 (   1)	 302 (   2)	 326 (  26)
19	 712 ( 412)	 302 (   2)	 301 (   1)	 342 (  42)
20	1657 (1357)	 306 (   6)	 302 (   2)	 341 (  41)
21	1339 (1039)	 305 (   5)	 302 (   2)	 327 (  27)
22	20264 (19964)	 301 (   1)	 301 (   1)	 327 (  27)
23	2545 (2245)	 302 (   2)	 301 (   1)	 356 (  56)
24	 304 (   4)	 302 (   2)	 333 (  33)	1682 (1382)
25	 303 (   3)	 302 (   2)	 350 (  50)	 971 ( 671)
26	 302 (   2)	 301 (   1)	 388 (  88)	1739 (1439)
27	 303 (   3)	 302 (   2)	 491 ( 191)	3379 (3079)
28	 303 (   3)	 302 (   2)	 387 (  87)	2875 (2575)
29	 301 (   1)	 301 (   1)	 353 (  53)	2777 (2477)
30	 312 (  12)	 301 (   1)	 317 (  17)	2364 (2064)
31	 312 (  12)	 304 (   4)	 321 (  21)	49325 (49025)
