====================
Distinguish key 6
====================
pos	          4	          3	          2	          1
32	 305 (   5)	 301 (   1)	 318 (  18)	100000 (100000)
33	 305 (   5)	 301 (   1)	 305 (   5)	100000 (100000)
34	 305 (   5)	 301 (   1)	 334 (  34)	100000 (100000)
35	 305 (   5)	 304 (   4)	 302 (   2)	100000 (100000)
36	 301 (   1)	 304 (   4)	 355 (  55)	100000 (100000)
37	 304 (   4)	 305 (   5)	 302 (   2)	100000 (100000)
38	 304 (   4)	 303 (   3)	 350 (  50)	100000 (100000)
39	 303 (   3)	 301 (   1)	 304 (   4)	100000 (100000)
40	 301 (   1)	 309 (   9)	43086 (42786)	 305 (   5)
41	 301 (   1)	 346 (  46)	5272 (4972)	 305 (   5)
42	 301 (   1)	 305 (   5)	100000 (100000)	 304 (   4)
43	 304 (   4)	 308 (   8)	22685 (22385)	 303 (   3)
44	 303 (   3)	 312 (  12)	13649 (13349)	 301 (   1)
45	 301 (   1)	 301 (   1)	30787 (30487)	 304 (   4)
46	 306 (   6)	 302 (   2)	2532 (2232)	 308 (   8)
47	 303 (   3)	 301 (   1)	2142 (1842)	 311 (  11)
48	1001 ( 701)	100000 (100000)	 321 (  21)	 301 (   1)
49	 585 ( 285)	100000 (100000)	 310 (  10)	 301 (   1)
50	 347 (  47)	100000 (100000)	 329 (  29)	 302 (   2)
51	 309 (   9)	70561 (70261)	 305 (   5)	 301 (   1)
52	 303 (   3)	5571 (5271)	 309 (   9)	 301 (   1)
53	 318 (  18)	9380 (9080)	 301 (   1)	 306 (   6)
54	 302 (   2)	12607 (12307)	 304 (   4)	 304 (   4)
55	 301 (   1)	4790 (4490)	 302 (   2)	 309 (   9)
56	100000 (100000)	 321 (  21)	 301 (   1)	 321 (  21)
57	100000 (100000)	 313 (  13)	 303 (   3)	 307 (   7)
58	35358 (35058)	 304 (   4)	 301 (   1)	 315 (  15)
59	100000 (100000)	 359 (  59)	 301 (   1)	 319 (  19)
60	100000 (100000)	 311 (  11)	 305 (   5)	 312 (  12)
61	74008 (73708)	 305 (   5)	 306 (   6)	 306 (   6)
62	37178 (36878)	 304 (   4)	 304 (   4)	 302 (   2)
63	34267 (33967)	 309 (   9)	 303 (   3)	 301 (   1)
