====================
Distinguish key 6 7
====================
pos	          4	          3	          2	          1
 0	 849 ( 549)	1181 ( 881)	 304 (   4)	 431 ( 131)
 0	 301 (   1)	 434 ( 134)	 996 ( 696)	 303 (   3)
 1	1241 ( 941)	1291 ( 991)	 301 (   1)	 336 (  36)
 1	 301 (   1)	 336 (  36)	1249 ( 949)	 305 (   5)
 2	 609 ( 309)	1697 (1397)	 302 (   2)	 321 (  21)
 2	 301 (   1)	 319 (  19)	1648 (1348)	 303 (   3)
 3	 939 ( 639)	 758 ( 458)	 305 (   5)	 357 (  57)
 3	 301 (   1)	 345 (  45)	1205 ( 905)	 303 (   3)
 4	42250 (41950)	1408 (1108)	 302 (   2)	 380 (  80)
 4	 301 (   1)	 398 (  98)	13483 (13183)	 302 (   2)
 5	 524 ( 224)	 715 ( 415)	 301 (   1)	 329 (  29)
 5	 301 (   1)	 330 (  30)	 638 ( 338)	 303 (   3)
 6	32093 (31793)	1065 ( 765)	 303 (   3)	 302 (   2)
 6	 303 (   3)	 302 (   2)	15758 (15458)	 303 (   3)
 7	3100 (2800)	2331 (2031)	 301 (   1)	 366 (  66)
 7	 301 (   1)	 367 (  67)	2623 (2323)	 301 (   1)
 8	33821 (33521)	 301 (   1)	 317 (  17)	1608 (1308)
 8	 317 (  17)	2252 (1952)	 301 (   1)	 302 (   2)
 9	3748 (3448)	 303 (   3)	 326 (  26)	1321 (1021)
 9	 324 (  24)	1184 ( 884)	 301 (   1)	 301 (   1)
10	7800 (7500)	 304 (   4)	 403 ( 103)	2062 (1762)
10	 389 (  89)	1802 (1502)	 302 (   2)	 302 (   2)
11	3933 (3633)	 304 (   4)	 335 (  35)	1384 (1084)
11	 335 (  35)	4005 (3705)	 304 (   4)	 302 (   2)
12	1880 (1580)	 304 (   4)	 314 (  14)	3148 (2848)
12	 317 (  17)	2209 (1909)	 301 (   1)	 302 (   2)
13	3717 (3417)	 303 (   3)	 379 (  79)	3225 (2925)
13	 379 (  79)	4271 (3971)	 304 (   4)	 301 (   1)
14	1731 (1431)	 304 (   4)	 328 (  28)	36788 (36488)
14	 328 (  28)	84809 (84509)	 303 (   3)	 301 (   1)
15	3720 (3420)	 304 (   4)	 352 (  52)	1516 (1216)
15	 336 (  36)	1851 (1551)	 304 (   4)	 302 (   2)
16	 305 (   5)	 376 (  76)	2536 (2236)	22862 (22562)
16	1825 (1525)	 303 (   3)	 301 (   1)	 373 (  73)
17	 303 (   3)	 318 (  18)	1141 ( 841)	2851 (2551)
17	1379 (1079)	 303 (   3)	 302 (   2)	 334 (  34)
18	 301 (   1)	 320 (  20)	2465 (2165)	6177 (5877)
18	2184 (1884)	 301 (   1)	 301 (   1)	 321 (  21)
19	 301 (   1)	 371 (  71)	 806 ( 506)	2001 (1701)
19	 809 ( 509)	 303 (   3)	 301 (   1)	 371 (  71)
20	 303 (   3)	 301 (   1)	 954 ( 654)	4440 (4140)
20	 822 ( 522)	 304 (   4)	 301 (   1)	 301 (   1)
21	 304 (   4)	 361 (  61)	1793 (1493)	2425 (2125)
21	1794 (1494)	 305 (   5)	 301 (   1)	 371 (  71)
22	 308 (   8)	 358 (  58)	23025 (22725)	1334 (1034)
22	23172 (22872)	 303 (   3)	 301 (   1)	 361 (  61)
23	 377 (  77)	 324 (  24)	100000 (100000)	17432 (17132)
23	100000 (100000)	1563 (1263)	 301 (   1)	 318 (  18)
24	 389 (  89)	1068 ( 768)	1559 (1259)	 305 (   5)
24	 303 (   3)	 301 (   1)	 388 (  88)	1321 (1021)
25	 358 (  58)	1194 ( 894)	2034 (1734)	 303 (   3)
25	 305 (   5)	 301 (   1)	 354 (  54)	1051 ( 751)
26	 380 (  80)	1635 (1335)	2995 (2695)	 301 (   1)
26	 301 (   1)	 302 (   2)	 389 (  89)	1319 (1019)
27	 335 (  35)	 966 ( 666)	1205 ( 905)	 308 (   8)
27	 306 (   6)	 302 (   2)	 335 (  35)	1214 ( 914)
28	 326 (  26)	2032 (1732)	1846 (1546)	 301 (   1)
28	 301 (   1)	 301 (   1)	 326 (  26)	1632 (1332)
29	 412 ( 112)	1421 (1121)	2694 (2394)	 305 (   5)
29	 303 (   3)	 301 (   1)	 425 ( 125)	1526 (1226)
30	 341 (  41)	1539 (1239)	1553 (1253)	 305 (   5)
30	 305 (   5)	 301 (   1)	 341 (  41)	4478 (4178)
31	 379 (  79)	2085 (1785)	3568 (3268)	 312 (  12)
31	 317 (  17)	 307 (   7)	 355 (  55)	2541 (2241)
