====================
Distinguish key 6
====================
pos	          4	          3	          2	          1
 0	2084 (1784)	8629 (8329)	 304 (   4)	 335 (  35)
 1	1119 ( 819)	3466 (3166)	 303 (   3)	 343 (  43)
 2	1751 (1451)	2119 (1819)	 303 (   3)	 325 (  25)
 3	3679 (3379)	1964 (1664)	 307 (   7)	 370 (  70)
 4	2130 (1830)	1855 (1555)	 302 (   2)	 327 (  27)
 5	2473 (2173)	3040 (2740)	 304 (   4)	 362 (  62)
 6	1869 (1569)	1003 ( 703)	 304 (   4)	 400 ( 100)
 7	1676 (1376)	1789 (1489)	 301 (   1)	 413 ( 113)
 8	20411 (20111)	 302 (   2)	 345 (  45)	1642 (1342)
 9	2571 (2271)	 303 (   3)	 355 (  55)	1654 (1354)
10	4723 (4423)	 304 (   4)	 309 (   9)	 617 ( 317)
11	1899 (1599)	 302 (   2)	 359 (  59)	1589 (1289)
12	1414 (1114)	 303 (   3)	 337 (  37)	1105 ( 805)
13	3476 (3176)	 307 (   7)	 309 (   9)	1063 ( 763)
14	1767 (1467)	 304 (   4)	 327 (  27)	90108 (89808)
15	8287 (7987)	 313 (  13)	 325 (  25)	100000 (100000)
16	 301 (   1)	 353 (  53)	1492 (1192)	21835 (21535)
17	 303 (   3)	 339 (  39)	2089 (1789)	3280 (2980)
18	 302 (   2)	 329 (  29)	1293 ( 993)	4810 (4510)
19	 304 (   4)	 319 (  19)	4666 (4366)	3070 (2770)
20	 301 (   1)	 308 (   8)	3822 (3522)	3487 (3187)
21	 301 (   1)	 391 (  91)	1722 (1422)	3171 (2871)
22	 302 (   2)	 417 ( 117)	3430 (3130)	1958 (1658)
23	 321 (  21)	 436 ( 136)	7543 (7243)	1718 (1418)
24	 353 (  53)	2734 (2434)	3311 (3011)	 304 (   4)
25	 333 (  33)	 427 ( 127)	1192 ( 892)	 302 (   2)
26	 379 (  79)	1420 (1120)	1871 (1571)	 304 (   4)
27	 349 (  49)	1000 ( 700)	1784 (1484)	 303 (   3)
28	 305 (   5)	1759 (1459)	1966 (1666)	 304 (   4)
29	 363 (  63)	2428 (2128)	2541 (2241)	 301 (   1)
30	 365 (  65)	7031 (6731)	1733 (1433)	 303 (   3)
31	 303 (   3)	25613 (25313)	5721 (5421)	 346 (  46)
