====================
Distinguish key 7
====================
pos	          4	          3	          2	          1
 0	 302 (   2)	 319 (  19)	1060 ( 760)	 307 (   7)
 1	 302 (   2)	 304 (   4)	 789 ( 489)	 303 (   3)
 2	 301 (   1)	 395 (  95)	 839 ( 539)	 301 (   1)
 3	 301 (   1)	 353 (  53)	2802 (2502)	 304 (   4)
 4	 302 (   2)	 362 (  62)	2112 (1812)	 303 (   3)
 5	 302 (   2)	 340 (  40)	 620 ( 320)	 304 (   4)
 6	 301 (   1)	 312 (  12)	67719 (67419)	 303 (   3)
 7	 302 (   2)	 324 (  24)	1871 (1571)	 303 (   3)
 8	 352 (  52)	1138 ( 838)	 303 (   3)	 301 (   1)
 9	 347 (  47)	1247 ( 947)	 304 (   4)	 301 (   1)
10	 382 (  82)	1867 (1567)	 302 (   2)	 302 (   2)
11	 328 (  28)	2933 (2633)	 302 (   2)	 302 (   2)
12	 310 (  10)	1447 (1147)	 306 (   6)	 302 (   2)
13	 350 (  50)	1910 (1610)	 301 (   1)	 302 (   2)
14	 325 (  25)	22490 (22190)	 302 (   2)	 301 (   1)
15	 329 (  29)	100000 (100000)	5819 (5519)	 303 (   3)
16	1896 (1596)	 303 (   3)	 302 (   2)	 339 (  39)
17	1501 (1201)	 301 (   1)	 301 (   1)	 329 (  29)
18	2324 (2024)	 302 (   2)	 301 (   1)	 342 (  42)
19	 620 ( 320)	 301 (   1)	 303 (   3)	 335 (  35)
20	2955 (2655)	 304 (   4)	 301 (   1)	 337 (  37)
21	1028 ( 728)	 302 (   2)	 301 (   1)	 391 (  91)
22	1768 (1468)	 301 (   1)	 302 (   2)	 353 (  53)
23	2347 (2047)	 306 (   6)	 303 (   3)	 332 (  32)
24	 301 (   1)	 301 (   1)	 349 (  49)	1487 (1187)
25	 304 (   4)	 301 (   1)	 315 (  15)	3206 (2906)
26	 304 (   4)	 301 (   1)	 359 (  59)	1387 (1087)
27	 303 (   3)	 301 (   1)	 358 (  58)	1161 ( 861)
28	 305 (   5)	 301 (   1)	 317 (  17)	 974 ( 674)
29	 302 (   2)	 302 (   2)	 348 (  48)	1952 (1652)
30	 305 (   5)	 301 (   1)	 308 (   8)	3340 (3040)
31	 305 (   5)	 304 (   4)	 321 (  21)	94643 (94343)
